hire_id,application_id,center_id,start_month,starting_wage,coaching_hours_first_90d,claims_closed_6mo,claims_reopened_6mo,reopen_rate_6mo_pct,retained_6mo,separation_month,separation_reason
129,1298,C00,2021-08,29.9,9.4,284,20,7.042,0,2021-11,attendance
130,1310,C00,2021-08,29.67,3.6,592,39,6.588,1,,
131,1320,C00,2021-09,31.9,5.1,560,44,7.857,1,,
132,1326,C00,2021-09,28.47,1.2,530,24,4.528,1,,
133,1330,C00,2021-08,28.26,0.0,274,19,6.934,0,2021-11,attendance
134,1359,C00,2021-09,27.64,2.3,485,8,1.649,0,2022-02,performance
135,1361,C00,2021-08,32.66,5.1,573,28,4.887,1,,
136,1365,C00,2021-08,31.66,1.9,583,39,6.69,1,,
137,1369,C00,2021-08,32.31,3.5,464,40,8.621,0,2022-01,voluntary
138,1371,C00,2021-08,30.37,4.1,541,40,7.394,1,,
139,1373,C00,2021-09,32.11,1.4,549,30,5.464,1,,
140,1374,C00,2021-08,31.18,3.7,558,60,10.753,1,,
141,1381,C00,2021-09,29.89,4.2,557,57,10.233,1,,
142,1392,C00,2021-10,28.93,3.2,464,34,7.328,0,2022-03,voluntary
143,1404,C00,2021-10,28.85,3.7,569,56,9.842,1,,
144,1410,C00,2021-10,30.8,4.7,530,3,0.566,1,,
145,1413,C00,2021-10,30.7,2.1,561,31,5.526,1,,
146,1417,C00,2021-10,31.23,3.1,585,47,8.034,1,,
147,1421,C00,2021-10,28.0,3.3,550,33,6.0,1,,
148,1427,C00,2021-10,30.57,7.0,365,31,8.493,0,2022-02,voluntary
149,1433,C00,2021-09,33.02,0.0,575,51,8.87,1,,
150,1438,C00,2021-10,31.56,7.5,568,34,5.986,1,,
151,1455,C00,2021-11,29.04,2.4,599,24,4.007,1,,
152,1469,C00,2021-11,30.43,0.0,593,68,11.467,1,,
153,1482,C00,2021-10,27.76,,96,15,15.625,0,2021-11,voluntary
154,1506,C00,2021-10,31.24,,86,9,10.465,0,2021-11,voluntary
155,1509,C00,2021-10,27.47,5.9,543,16,2.947,1,,
156,1511,C00,2021-10,30.16,3.9,560,58,10.357,1,,
157,1513,C00,2021-10,29.39,0.0,277,21,7.581,0,2022-01,attendance
158,1521,C00,2021-09,30.27,,198,10,5.051,0,2021-11,attendance
159,1543,C00,2021-11,32.82,2.6,310,6,1.935,0,2022-02,performance
160,1545,C00,2021-11,30.98,4.0,530,35,6.604,1,,
161,1549,C00,2021-11,29.91,2.4,611,44,7.201,1,,
162,1566,C00,2021-11,31.37,3.0,559,15,2.683,1,,
163,1568,C00,2021-12,31.52,5.4,557,49,8.797,1,,
164,1570,C00,2021-11,30.54,3.5,526,88,16.73,1,,
165,1579,C00,2021-10,28.62,5.8,595,39,6.555,1,,
166,1601,C00,2021-11,31.39,1.4,535,47,8.785,1,,
167,1604,C00,2021-12,32.85,5.5,567,63,11.111,1,,
168,1606,C00,2021-12,30.77,3.2,547,44,8.044,1,,
169,1612,C00,2021-11,30.78,0.0,573,3,0.524,1,,
170,1620,C00,2021-11,29.3,4.4,635,55,8.661,1,,
171,1623,C00,2021-10,29.94,5.0,562,26,4.626,1,,
172,1635,C00,2021-11,31.33,5.1,562,56,9.964,1,,
173,1642,C00,2021-11,30.12,0.0,590,13,2.203,1,,
174,1650,C00,2021-11,28.46,6.3,554,56,10.108,1,,
175,1671,C00,2021-12,32.66,1.0,572,57,9.965,1,,
176,1684,C00,2021-12,35.21,2.9,559,50,8.945,1,,
177,1685,C00,2021-12,27.27,0.0,545,48,8.807,1,,
178,1689,C00,2021-11,27.19,1.7,573,30,5.236,1,,
179,1715,C00,2021-12,33.05,,90,3,3.333,0,2022-01,voluntary
180,1720,C00,2021-12,30.3,0.0,539,54,10.019,1,,
181,1749,C00,2021-11,29.94,8.9,587,34,5.792,1,,
182,1755,C00,2021-11,31.71,2.0,528,28,5.303,1,,
183,1756,C00,2021-11,30.23,2.6,529,57,10.775,1,,
184,1758,C00,2021-12,31.71,4.1,546,49,8.974,1,,
185,1759,C00,2021-12,29.17,8.7,563,4,0.71,1,,
186,1760,C00,2021-12,30.72,0.0,523,61,11.663,1,,
187,1763,C00,2021-12,31.44,1.8,369,15,4.065,0,2022-04,voluntary
188,1795,C00,2021-11,29.56,,152,10,6.579,0,2022-01,voluntary
189,1800,C00,2021-12,28.65,7.4,567,44,7.76,1,,
190,1805,C00,2021-11,30.11,4.8,586,41,6.997,1,,
191,1851,C00,2022-01,32.53,0.8,578,13,2.249,1,,
192,1862,C00,2021-12,32.48,5.5,556,36,6.475,1,,
193,1867,C00,2021-12,29.82,4.7,606,25,4.125,1,,
194,1873,C00,2022-01,27.97,,189,8,4.233,0,2022-03,voluntary
195,1874,C00,2022-01,34.11,6.0,546,18,3.297,1,,
196,1888,C00,2022-01,30.25,6.9,264,16,6.061,0,2022-04,performance
197,1898,C00,2022-02,28.37,3.0,605,59,9.752,1,,
198,1899,C00,2022-01,32.16,4.0,631,43,6.815,1,,
199,1901,C00,2022-01,29.05,6.6,528,15,2.841,1,,
200,1935,C00,2022-01,30.83,4.2,569,36,6.327,1,,
201,1941,C00,2022-02,31.74,3.7,559,20,3.578,1,,
202,1948,C00,2022-02,28.42,1.0,597,70,11.725,1,,
203,1955,C00,2022-02,28.11,2.4,551,30,5.445,1,,
204,1963,C00,2022-01,30.44,2.2,585,85,14.53,1,,
205,1964,C00,2022-02,32.74,2.3,554,41,7.401,1,,
206,1971,C00,2022-02,30.24,11.0,582,36,6.186,1,,
207,1981,C00,2022-01,28.71,9.4,556,41,7.374,1,,
208,1988,C00,2022-02,33.65,3.1,584,48,8.219,1,,
209,2006,C00,2022-02,30.88,3.0,558,24,4.301,1,,
210,2007,C00,2022-01,31.81,6.1,578,49,8.478,1,,
211,2015,C00,2022-02,31.76,0.0,595,61,10.252,1,,
212,2029,C00,2022-01,31.69,6.4,569,25,4.394,1,,
213,2041,C00,2022-02,30.3,0.0,592,60,10.135,1,,
214,2043,C00,2022-01,31.54,0.2,407,20,4.914,0,2022-05,voluntary
215,2044,C00,2022-02,35.41,7.9,549,50,9.107,1,,
216,2045,C00,2022-02,32.1,5.8,280,7,2.5,0,2022-05,performance
217,2070,C00,2022-02,30.4,0.0,272,9,3.309,0,2022-05,voluntary
218,2076,C00,2022-03,32.38,0.0,563,57,10.124,1,,
219,2094,C00,2022-03,30.72,0.0,539,39,7.236,1,,
220,2100,C00,2022-03,32.06,8.8,605,80,13.223,1,,
221,2134,C00,2022-03,30.48,,181,13,7.182,0,2022-05,voluntary
222,2142,C00,2022-03,31.26,,214,15,7.009,0,2022-05,voluntary
223,2155,C00,2022-02,27.92,0.2,597,42,7.035,1,,
224,2162,C00,2022-02,30.62,6.5,584,19,3.253,1,,
225,2165,C00,2022-03,29.07,1.2,518,106,20.463,1,,
226,2167,C00,2022-02,32.04,4.3,570,53,9.298,1,,
227,2186,C00,2022-03,31.54,0.0,566,70,12.367,1,,
228,2191,C00,2022-02,31.19,4.6,555,35,6.306,1,,
229,2194,C00,2022-03,33.71,3.7,599,35,5.843,1,,
230,2198,C00,2022-02,29.65,,537,72,13.408,1,,
231,2205,C00,2022-02,31.58,4.2,565,51,9.027,1,,
232,2210,C00,2022-03,30.32,8.8,578,33,5.709,1,,
233,2248,C00,2022-02,31.33,7.2,577,30,5.199,1,,
234,2249,C00,2022-02,30.1,7.4,580,59,10.172,1,,
235,2255,C00,2022-03,32.11,2.8,285,14,4.912,0,2022-06,performance
236,2262,C00,2022-03,31.99,3.1,592,60,10.135,1,,
237,2266,C00,2022-02,28.88,0.0,527,21,3.985,1,,
238,2317,C00,2022-04,29.27,0.0,546,26,4.762,1,,
239,2334,C00,2022-04,29.62,3.0,599,36,6.01,1,,
240,2362,C00,2022-04,29.7,8.4,560,48,8.571,1,,
241,2383,C00,2022-04,32.69,4.8,383,1,0.261,0,2022-08,voluntary
242,2386,C00,2022-04,32.24,4.6,574,39,6.794,1,,
243,2388,C00,2022-04,28.3,4.1,552,44,7.971,1,,
244,2394,C00,2022-04,31.21,8.3,547,56,10.238,1,,
245,2407,C00,2022-04,32.0,4.8,609,58,9.524,1,,
246,2423,C00,2022-03,29.15,4.4,595,36,6.05,1,,
247,2424,C00,2022-04,30.04,9.1,536,55,10.261,1,,
248,2426,C00,2022-04,30.96,1.0,526,39,7.414,1,,
249,2433,C00,2022-04,31.87,4.0,572,39,6.818,1,,
250,2441,C00,2022-03,31.38,,96,8,8.333,0,2022-04,attendance
251,2442,C00,2022-04,29.11,,565,48,8.496,1,,
252,2452,C00,2022-04,30.83,2.6,576,47,8.16,1,,
253,2463,C00,2022-04,31.85,5.9,506,25,4.941,1,,
254,2464,C00,2022-04,29.94,0.0,293,23,7.85,0,2022-07,performance
255,2491,C00,2022-03,32.67,6.5,572,40,6.993,1,,
256,2499,C00,2022-04,30.73,8.3,544,26,4.779,1,,
257,2506,C00,2022-05,30.55,4.6,566,44,7.774,1,,
258,2507,C00,2022-04,33.01,1.5,558,17,3.047,1,,
259,2512,C00,2022-05,33.27,6.4,587,85,14.48,1,,
260,2528,C00,2022-05,30.22,8.5,500,37,7.4,1,,
261,2529,C00,2022-05,27.37,0.9,569,34,5.975,1,,
262,2536,C00,2022-04,33.94,1.7,567,47,8.289,1,,
263,2541,C00,2022-04,33.03,0.0,545,36,6.606,1,,
264,2543,C00,2022-05,28.14,3.0,577,33,5.719,1,,
265,2564,C00,2022-04,31.59,0.0,602,41,6.811,1,,
266,2592,C00,2022-05,30.76,1.3,591,53,8.968,1,,
267,2593,C00,2022-04,31.04,,189,0,0.0,0,2022-06,performance
268,2598,C00,2022-05,33.06,4.3,554,37,6.679,1,,
269,2605,C00,2022-05,31.57,6.6,448,38,8.482,0,2022-10,voluntary
270,2610,C00,2022-04,32.8,6.1,541,46,8.503,1,,
271,2621,C00,2022-05,29.43,4.4,563,31,5.506,1,,
272,2655,C00,2022-06,30.22,3.8,570,62,10.877,1,,
273,2662,C00,2022-07,30.23,2.5,544,29,5.331,1,,
274,2674,C00,2022-05,32.45,0.0,548,2,0.365,1,,
275,2707,C00,2022-06,32.08,,89,5,5.618,0,2022-07,attendance
276,2713,C00,2022-07,32.99,1.0,570,25,4.386,1,,
277,2718,C00,2022-06,31.58,9.0,565,26,4.602,1,,
278,2720,C00,2022-06,28.79,,99,7,7.071,0,2022-07,performance
279,2726,C00,2022-05,33.49,4.6,556,88,15.827,1,,
280,2736,C00,2022-06,28.91,5.0,583,45,7.719,1,,
281,2739,C00,2022-06,32.19,1.9,534,24,4.494,1,,
282,2742,C00,2022-07,33.5,0.7,534,25,4.682,1,,
283,2749,C00,2022-06,32.07,6.3,588,70,11.905,1,,
284,2785,C00,2022-06,32.31,4.7,573,11,1.92,1,,
285,2796,C00,2022-07,33.59,2.7,599,40,6.678,1,,
286,2807,C00,2022-06,30.86,6.3,552,27,4.891,1,,
287,2816,C00,2022-07,28.19,5.9,588,31,5.272,1,,
288,2825,C00,2022-07,28.86,5.5,605,81,13.388,1,,
289,2845,C00,2022-07,30.95,7.5,597,24,4.02,1,,
290,2847,C00,2022-07,30.04,8.3,549,49,8.925,1,,
291,2864,C00,2022-07,31.39,0.2,586,42,7.167,1,,
292,2871,C00,2022-07,29.83,2.5,563,68,12.078,1,,
293,2885,C00,2022-07,31.85,5.1,542,42,7.749,1,,
294,2896,C00,2022-07,34.95,4.9,517,41,7.93,1,,
295,2904,C00,2022-06,30.07,0.0,547,45,8.227,1,,
296,2909,C00,2022-07,31.48,4.7,565,43,7.611,1,,
297,2912,C00,2022-07,33.47,0.8,546,33,6.044,1,,
298,2958,C00,2022-08,32.42,0.6,571,17,2.977,1,,
299,2960,C00,2022-08,29.83,,170,20,11.765,0,2022-10,performance
300,2964,C00,2022-08,32.42,6.5,462,27,5.844,0,2023-01,performance
301,2971,C00,2022-08,30.08,0.0,593,13,2.192,0,2023-02,attendance
302,2974,C00,2022-07,30.77,3.1,583,34,5.832,1,,
303,3004,C00,2022-08,32.87,3.9,555,57,10.27,1,,
304,3007,C00,2022-08,34.56,3.9,572,22,3.846,1,,
305,3010,C00,2022-07,33.66,,190,17,8.947,0,2022-09,attendance
306,3017,C00,2022-08,28.01,3.3,364,15,4.121,0,2022-12,attendance
307,3024,C00,2022-07,30.89,0.3,578,24,4.152,1,,
308,3031,C00,2022-08,31.01,0.0,532,24,4.511,1,,
309,3045,C00,2022-08,33.49,0.3,371,21,5.66,0,2022-12,voluntary
310,3047,C00,2022-09,31.32,0.0,597,45,7.538,1,,
311,3053,C00,2022-08,32.69,6.1,510,54,10.588,1,,
312,3055,C00,2022-09,30.36,5.7,533,49,9.193,1,,
313,3066,C00,2022-10,29.82,2.8,594,33,5.556,1,,
314,3084,C00,2022-09,33.35,0.0,559,27,4.83,1,,
315,3087,C00,2022-09,30.64,2.5,526,43,8.175,1,,
316,3097,C00,2022-09,29.45,4.2,592,31,5.236,1,,
317,3098,C00,2022-09,31.73,6.8,603,81,13.433,1,,
318,3109,C00,2022-08,30.35,8.2,555,29,5.225,1,,
319,3127,C00,2022-09,31.5,5.0,481,35,7.277,0,2023-02,attendance
320,3133,C00,2022-09,30.84,0.1,579,50,8.636,1,,
321,3152,C00,2022-08,31.08,2.1,553,34,6.148,1,,
322,3165,C00,2022-09,32.32,4.8,598,33,5.518,1,,
323,3171,C00,2022-09,31.42,5.6,529,66,12.476,1,,
324,3185,C00,2022-09,28.59,3.1,599,23,3.84,1,,
325,3221,C00,2022-08,30.36,9.4,482,34,7.054,1,,
326,3227,C00,2022-09,33.01,6.1,553,32,5.787,1,,
327,3232,C00,2022-10,30.61,,177,10,5.65,0,2022-12,performance
328,3248,C00,2022-10,33.96,2.7,574,25,4.355,1,,
329,3301,C00,2022-11,30.93,3.0,597,77,12.898,1,,
330,3310,C00,2022-10,30.22,3.7,271,20,7.38,0,2023-01,voluntary
331,3311,C00,2022-10,29.41,3.1,555,70,12.613,1,,
332,3312,C00,2022-09,32.39,,92,12,13.043,0,2022-10,voluntary
333,3323,C00,2022-10,34.49,0.0,605,55,9.091,1,,
334,3331,C00,2022-10,33.79,,98,11,11.224,0,2022-11,attendance
335,3336,C00,2022-10,32.49,7.2,528,28,5.303,1,,
336,3343,C00,2022-10,33.01,3.6,564,52,9.22,1,,
337,3353,C00,2022-10,34.48,5.4,563,58,10.302,1,,
338,3354,C00,2022-11,31.25,10.0,565,69,12.212,1,,
339,3363,C00,2022-09,30.75,,96,8,8.333,0,2022-10,voluntary
340,3364,C00,2022-09,33.67,4.1,356,21,5.899,0,2023-01,voluntary
341,3367,C00,2022-10,33.61,5.0,544,56,10.294,1,,
342,3369,C00,2022-10,31.12,2.4,548,52,9.489,1,,
343,3424,C00,2022-10,28.53,3.7,607,36,5.931,1,,
344,3435,C00,2022-11,29.75,5.0,562,43,7.651,1,,
345,3437,C00,2022-11,32.75,2.4,611,33,5.401,1,,
346,3439,C00,2022-11,31.45,9.2,562,46,8.185,1,,
347,3449,C00,2022-11,35.25,3.6,557,22,3.95,1,,
348,3460,C00,2022-11,31.73,4.6,610,18,2.951,1,,
349,3461,C00,2022-10,28.65,3.7,540,38,7.037,1,,
350,3466,C00,2022-10,30.33,0.1,552,52,9.42,1,,
351,3471,C00,2022-11,34.16,4.3,583,32,5.489,1,,
352,3472,C00,2022-11,29.18,6.9,291,16,5.498,0,2023-02,attendance
353,3489,C00,2022-11,33.86,,199,21,10.553,0,2023-01,voluntary
354,3495,C00,2022-11,30.28,5.9,565,29,5.133,1,,
355,3500,C00,2022-10,31.43,1.9,556,37,6.655,1,,
356,3514,C00,2022-10,32.51,3.4,532,67,12.594,1,,
357,3518,C00,2022-11,31.34,,96,4,4.167,0,2022-12,performance
358,3524,C00,2022-10,31.37,,102,4,3.922,0,2022-11,voluntary
359,3537,C00,2022-12,31.11,8.4,564,64,11.348,1,,
360,3546,C00,2022-12,30.06,7.8,619,25,4.039,1,,
361,3550,C00,2022-12,32.6,0.6,560,46,8.214,1,,
362,3586,C00,2022-12,33.28,4.8,528,30,5.682,1,,
363,3589,C00,2022-12,32.21,10.7,543,86,15.838,1,,
364,3603,C00,2022-12,30.9,9.8,526,3,0.57,1,,
365,3608,C00,2022-11,31.79,3.1,623,55,8.828,1,,
366,3611,C00,2022-12,30.38,1.6,548,38,6.934,1,,
367,3621,C00,2022-12,32.69,,202,12,5.941,0,2023-02,voluntary
368,3623,C00,2022-11,32.71,6.0,513,14,2.729,1,,
369,3629,C00,2022-11,31.57,8.7,361,28,7.756,0,2023-03,voluntary
370,3680,C00,2022-12,31.39,0.4,545,16,2.936,1,,
371,3702,C00,2022-11,33.97,3.3,579,58,10.017,1,,
372,3713,C00,2022-12,32.62,2.7,580,36,6.207,1,,
373,3714,C00,2022-12,32.92,,99,0,0.0,0,2023-01,voluntary
374,3718,C00,2022-11,30.41,4.4,592,39,6.588,1,,
375,3732,C00,2022-12,32.09,7.7,362,18,4.972,0,2023-04,performance
376,3736,C00,2022-12,31.51,5.6,616,101,16.396,1,,
377,3738,C00,2023-01,32.92,5.5,545,33,6.055,1,,
378,3739,C00,2023-01,31.75,5.4,565,32,5.664,1,,
379,3748,C00,2023-01,32.05,4.0,558,61,10.932,1,,
380,3755,C00,2023-01,32.01,4.9,592,20,3.378,1,,
381,3759,C00,2023-01,35.8,1.3,610,24,3.934,1,,
382,3785,C00,2023-01,32.9,3.8,373,7,1.877,0,2023-05,voluntary
383,3787,C00,2023-01,31.65,,104,8,7.692,0,2023-02,attendance
384,3800,C00,2023-02,31.64,1.9,593,46,7.757,1,,
385,3806,C00,2023-01,32.22,11.6,579,88,15.199,1,,
386,3807,C00,2023-01,33.93,5.9,562,71,12.633,1,,
387,3808,C00,2023-01,33.31,2.0,571,30,5.254,1,,
388,3810,C00,2023-02,30.2,7.2,556,7,1.259,1,,
389,3827,C00,2022-12,33.38,2.2,535,63,11.776,1,,
390,3828,C00,2022-12,31.4,8.2,254,4,1.575,0,2023-03,performance
391,3849,C00,2023-01,34.45,,532,21,3.947,1,,
392,3859,C00,2023-01,30.52,5.0,597,23,3.853,1,,
393,3876,C00,2023-02,31.25,0.0,533,35,6.567,1,,
394,3898,C00,2023-01,32.69,2.2,598,37,6.187,1,,
395,3920,C00,2023-02,34.04,5.7,576,16,2.778,1,,
396,3924,C00,2023-02,31.76,3.3,566,38,6.714,1,,
397,3929,C00,2023-02,33.78,2.0,546,34,6.227,1,,
398,3930,C00,2023-02,32.35,1.9,556,45,8.094,1,,
399,3931,C00,2023-03,34.88,4.1,543,32,5.893,1,,
400,3936,C00,2023-02,30.74,6.7,569,3,0.527,1,,
401,3985,C00,2023-02,30.1,6.6,573,21,3.665,1,,
402,3988,C00,2023-02,32.85,,168,8,4.762,0,2023-04,voluntary
403,4025,C00,2023-02,33.08,7.4,571,61,10.683,1,,
404,4027,C00,2023-03,29.91,4.3,571,78,13.66,1,,
405,4035,C00,2023-02,32.8,8.1,570,29,5.088,1,,
406,4039,C00,2023-03,30.55,5.1,576,44,7.639,1,,
407,4060,C00,2023-03,30.06,4.6,299,38,12.709,0,2023-06,voluntary
