placement_id,application_id,center_id,placement_month,certification_level,weeks_assigned,claims_closed,claims_reopened,reopen_rate_pct
92,1068,C00,2021-07,entry,9,122,14,11.475
93,1089,C00,2021-07,entry,10,129,9,6.977
94,1098,C00,2021-07,licensed,15,156,9,5.769
95,1110,C00,2021-07,licensed,14,175,14,8.0
96,1124,C00,2021-07,licensed,10,149,22,14.765
97,1137,C00,2021-08,experienced,14,178,14,7.865
98,1141,C00,2021-08,licensed,16,190,24,12.632
99,1156,C00,2021-08,licensed,14,183,34,18.579
100,1169,C00,2021-08,experienced,10,139,1,0.719
101,1171,C00,2021-08,experienced,14,176,21,11.932
102,1174,C00,2021-08,entry,18,240,26,10.833
103,1215,C00,2021-08,experienced,12,129,22,17.054
104,1233,C00,2021-08,entry,12,151,23,15.232
105,1277,C00,2021-08,licensed,12,170,20,11.765
106,1299,C00,2021-08,licensed,14,218,15,6.881
107,1301,C00,2021-08,experienced,17,258,21,8.14
108,1303,C00,2021-08,licensed,16,224,25,11.161
109,1316,C00,2021-08,experienced,12,162,24,14.815
110,1332,C00,2021-08,entry,16,200,21,10.5
111,1378,C00,2021-08,entry,15,209,18,8.612
112,1393,C00,2021-09,entry,16,194,23,11.856
113,1394,C00,2021-09,licensed,11,150,6,4.0
114,1422,C00,2021-09,experienced,14,199,26,13.065
115,1423,C00,2021-09,licensed,12,163,13,7.975
116,1437,C00,2021-09,licensed,13,174,15,8.621
117,1450,C00,2021-09,licensed,19,243,27,11.111
118,1451,C00,2021-09,entry,20,259,40,15.444
119,1456,C00,2021-09,licensed,9,113,9,7.965
120,1457,C00,2021-09,entry,14,189,16,8.466
121,1466,C00,2021-09,entry,12,157,18,11.465
122,1484,C00,2021-09,licensed,13,166,14,8.434
123,1486,C00,2021-09,entry,19,240,21,8.75
124,1493,C00,2021-09,licensed,20,258,24,9.302
125,1504,C00,2021-09,experienced,23,304,19,6.25
126,1560,C00,2021-10,licensed,12,166,14,8.434
127,1562,C00,2021-10,licensed,18,227,10,4.405
128,1572,C00,2021-10,experienced,13,160,11,6.875
129,1592,C00,2021-10,entry,14,170,19,11.176
130,1593,C00,2021-10,experienced,16,185,14,7.568
131,1594,C00,2021-10,entry,13,173,16,9.249
132,1600,C00,2021-10,licensed,13,168,5,2.976
133,1605,C00,2021-10,licensed,12,164,11,6.707
134,1608,C00,2021-10,licensed,12,162,20,12.346
135,1611,C00,2021-10,licensed,12,153,9,5.882
136,1613,C00,2021-10,entry,13,163,8,4.908
137,1615,C00,2021-10,licensed,14,160,16,10.0
138,1629,C00,2021-10,entry,9,106,6,5.66
139,1633,C00,2021-10,entry,14,165,25,15.152
140,1639,C00,2021-10,experienced,9,113,3,2.655
141,1643,C00,2021-10,entry,16,216,14,6.481
142,1646,C00,2021-10,entry,16,214,7,3.271
143,1664,C00,2021-11,licensed,14,189,21,11.111
144,1679,C00,2021-11,entry,17,205,26,12.683
145,1690,C00,2021-11,entry,23,304,32,10.526
146,1747,C00,2021-11,experienced,22,302,26,8.609
147,1752,C00,2021-11,entry,18,242,17,7.025
148,1761,C00,2021-11,entry,15,200,17,8.5
149,1770,C00,2021-11,entry,14,192,22,11.458
150,1782,C00,2021-11,licensed,19,236,17,7.203
151,1783,C00,2021-11,licensed,10,118,10,8.475
152,1797,C00,2021-11,licensed,8,89,7,7.865
153,1810,C00,2021-11,licensed,14,195,20,10.256
154,1818,C00,2021-11,licensed,22,293,27,9.215
155,1832,C00,2021-11,licensed,9,116,15,12.931
156,1836,C00,2021-12,entry,9,131,10,7.634
157,1841,C00,2021-12,entry,11,137,18,13.139
158,1846,C00,2021-12,licensed,15,197,16,8.122
159,1853,C00,2021-12,licensed,13,165,23,13.939
160,1858,C00,2021-12,experienced,15,199,18,9.045
161,1883,C00,2021-12,entry,12,144,9,6.25
162,1884,C00,2021-12,entry,14,194,25,12.887
163,1889,C00,2021-12,experienced,22,302,38,12.583
164,1895,C00,2021-12,experienced,15,189,19,10.053
165,1911,C00,2021-12,experienced,10,134,13,9.701
166,1915,C00,2021-12,experienced,15,181,14,7.735
167,1919,C00,2021-12,licensed,13,161,13,8.075
168,1959,C00,2022-01,experienced,13,168,7,4.167
169,1966,C00,2022-01,licensed,8,118,7,5.932
170,1999,C00,2022-01,licensed,19,254,24,9.449
171,2019,C00,2022-01,experienced,20,257,32,12.451
172,2028,C00,2022-01,licensed,15,211,9,4.265
173,2075,C00,2022-02,entry,21,284,17,5.986
174,2149,C00,2022-02,licensed,9,106,11,10.377
175,2150,C00,2022-02,licensed,19,263,26,9.886
176,2188,C00,2022-02,entry,12,167,15,8.982
177,2197,C00,2022-02,licensed,20,283,23,8.127
178,2204,C00,2022-02,entry,21,270,22,8.148
179,2214,C00,2022-02,entry,16,202,25,12.376
180,2221,C00,2022-02,entry,12,162,25,15.432
181,2239,C00,2022-02,entry,10,141,12,8.511
182,2247,C00,2022-02,entry,15,186,19,10.215
183,2267,C00,2022-02,licensed,12,162,15,9.259
184,2269,C00,2022-02,entry,6,85,4,4.706
185,2285,C00,2022-02,entry,15,202,30,14.851
186,2286,C00,2022-02,licensed,15,194,26,13.402
187,2327,C00,2022-03,licensed,22,272,15,5.515
188,2329,C00,2022-03,experienced,13,148,8,5.405
189,2382,C00,2022-03,experienced,14,176,19,10.795
190,2389,C00,2022-03,experienced,16,198,11,5.556
191,2392,C00,2022-03,entry,14,183,35,19.126
192,2396,C00,2022-03,experienced,20,270,17,6.296
193,2398,C00,2022-03,licensed,13,178,16,8.989
194,2409,C00,2022-03,entry,13,173,25,14.451
195,2425,C00,2022-03,entry,15,207,30,14.493
196,2430,C00,2022-03,licensed,14,175,18,10.286
197,2440,C00,2022-03,experienced,15,194,11,5.67
198,2483,C00,2022-03,licensed,9,108,4,3.704
199,2508,C00,2022-03,entry,9,106,12,11.321
200,2517,C00,2022-03,licensed,15,198,27,13.636
201,2522,C00,2022-04,licensed,21,275,27,9.818
202,2524,C00,2022-04,licensed,24,334,34,10.18
203,2525,C00,2022-04,entry,20,224,16,7.143
204,2526,C00,2022-04,licensed,13,160,14,8.75
205,2545,C00,2022-04,licensed,15,211,16,7.583
206,2548,C00,2022-04,licensed,8,100,6,6.0
207,2550,C00,2022-04,entry,13,185,15,8.108
208,2594,C00,2022-04,experienced,14,178,18,10.112
209,2596,C00,2022-04,experienced,8,96,12,12.5
210,2624,C00,2022-04,experienced,10,108,15,13.889
211,2625,C00,2022-04,experienced,17,188,16,8.511
212,2642,C00,2022-05,experienced,14,197,22,11.168
213,2644,C00,2022-05,entry,14,162,16,9.877
214,2645,C00,2022-05,entry,17,222,30,13.514
215,2673,C00,2022-05,experienced,16,198,12,6.061
216,2685,C00,2022-05,experienced,6,79,9,11.392
217,2686,C00,2022-05,entry,12,168,12,7.143
218,2708,C00,2022-05,entry,15,207,24,11.594
219,2716,C00,2022-05,entry,26,319,41,12.853
220,2734,C00,2022-05,experienced,15,185,31,16.757
221,2738,C00,2022-05,entry,18,222,19,8.559
222,2752,C00,2022-05,experienced,15,221,22,9.955
223,2755,C00,2022-05,entry,18,240,27,11.25
224,2759,C00,2022-05,entry,12,145,19,13.103
225,2763,C00,2022-05,entry,9,120,20,16.667
226,2767,C00,2022-05,experienced,19,239,22,9.205
227,2781,C00,2022-06,experienced,14,171,30,17.544
228,2791,C00,2022-06,experienced,15,196,23,11.735
229,2797,C00,2022-06,licensed,11,131,10,7.634
230,2804,C00,2022-06,entry,14,198,14,7.071
231,2821,C00,2022-06,licensed,16,163,20,12.27
232,2827,C00,2022-06,licensed,6,79,7,8.861
233,2837,C00,2022-06,entry,16,197,11,5.584
234,2839,C00,2022-06,licensed,14,174,11,6.322
235,2865,C00,2022-06,licensed,13,153,19,12.418
236,2873,C00,2022-06,entry,12,164,18,10.976
237,2876,C00,2022-06,licensed,13,160,12,7.5
238,2922,C00,2022-06,entry,18,240,35,14.583
239,2936,C00,2022-07,entry,9,131,8,6.107
240,2939,C00,2022-07,licensed,10,122,5,4.098
241,2941,C00,2022-07,entry,19,234,13,5.556
242,2965,C00,2022-07,entry,15,200,24,12.0
243,2977,C00,2022-07,entry,12,168,7,4.167
244,2984,C00,2022-07,experienced,8,107,4,3.738
245,2988,C00,2022-07,licensed,12,157,9,5.732
246,2990,C00,2022-07,entry,13,147,10,6.803
247,2994,C00,2022-07,licensed,16,217,11,5.069
248,2999,C00,2022-07,experienced,14,210,20,9.524
249,3002,C00,2022-07,experienced,10,131,9,6.87
250,3006,C00,2022-07,entry,12,146,18,12.329
251,3021,C00,2022-07,licensed,15,167,20,11.976
252,3026,C00,2022-07,experienced,10,121,10,8.264
253,3030,C00,2022-07,experienced,16,207,14,6.763
254,3049,C00,2022-08,experienced,20,267,37,13.858
255,3072,C00,2022-08,experienced,13,180,15,8.333
256,3089,C00,2022-08,licensed,13,186,10,5.376
257,3103,C00,2022-08,entry,19,285,24,8.421
258,3117,C00,2022-08,licensed,11,150,21,14.0
259,3120,C00,2022-08,entry,15,201,14,6.965
260,3125,C00,2022-08,experienced,15,181,10,5.525
261,3153,C00,2022-08,entry,9,116,6,5.172
262,3197,C00,2022-08,entry,12,146,11,7.534
263,3213,C00,2022-08,licensed,12,168,18,10.714
264,3219,C00,2022-08,licensed,16,216,17,7.87
265,3220,C00,2022-08,entry,12,163,17,10.429
266,3224,C00,2022-08,licensed,17,216,24,11.111
267,3226,C00,2022-08,licensed,16,215,26,12.093
268,3229,C00,2022-08,licensed,9,124,6,4.839
269,3249,C00,2022-09,licensed,10,141,7,4.965
270,3264,C00,2022-09,experienced,15,179,27,15.084
271,3282,C00,2022-09,experienced,10,132,14,10.606
272,3302,C00,2022-09,experienced,18,219,26,11.872
273,3303,C00,2022-09,licensed,15,212,25,11.792
274,3307,C00,2022-09,experienced,13,162,15,9.259
275,3316,C00,2022-09,experienced,9,135,16,11.852
276,3333,C00,2022-09,experienced,15,200,24,12.0
277,3345,C00,2022-09,entry,9,119,10,8.403
278,3356,C00,2022-09,entry,18,238,20,8.403
279,3405,C00,2022-09,experienced,20,267,20,7.491
280,3413,C00,2022-09,licensed,23,290,29,10.0
281,3423,C00,2022-10,entry,13,158,25,15.823
282,3442,C00,2022-10,entry,13,184,22,11.957
283,3443,C00,2022-10,entry,17,201,9,4.478
284,3458,C00,2022-10,entry,14,199,25,12.563
285,3462,C00,2022-10,experienced,21,269,16,5.948
286,3463,C00,2022-10,entry,13,171,9,5.263
287,3486,C00,2022-10,licensed,20,243,19,7.819
288,3508,C00,2022-10,entry,19,217,8,3.687
289,3513,C00,2022-10,licensed,15,186,20,10.753
290,3519,C00,2022-10,entry,18,242,30,12.397
291,3528,C00,2022-10,experienced,20,250,21,8.4
292,3541,C00,2022-11,entry,11,147,6,4.082
293,3560,C00,2022-11,entry,13,162,14,8.642
294,3570,C00,2022-11,experienced,15,204,13,6.373
295,3580,C00,2022-11,licensed,16,205,29,14.146
296,3582,C00,2022-11,licensed,21,288,17,5.903
297,3590,C00,2022-11,entry,11,139,15,10.791
298,3598,C00,2022-11,entry,14,174,17,9.77
299,3599,C00,2022-11,experienced,11,144,18,12.5
300,3619,C00,2022-11,licensed,12,154,34,22.078
301,3634,C00,2022-11,licensed,16,202,19,9.406
302,3685,C00,2022-11,entry,13,167,13,7.784
303,3710,C00,2022-11,experienced,13,157,16,10.191
304,3722,C00,2022-11,licensed,12,172,12,6.977
305,3727,C00,2022-11,entry,15,184,12,6.522
306,3766,C00,2022-12,experienced,14,164,16,9.756
307,3783,C00,2022-12,licensed,10,120,9,7.5
308,3797,C00,2022-12,entry,13,180,39,21.667
309,3822,C00,2022-12,experienced,14,175,32,18.286
310,3829,C00,2022-12,licensed,16,215,14,6.512
311,3830,C00,2022-12,licensed,21,285,6,2.105
312,3842,C00,2022-12,entry,11,141,30,21.277
313,3850,C00,2022-12,entry,10,134,5,3.731
314,3864,C00,2022-12,experienced,19,233,37,15.88
315,3870,C00,2022-12,experienced,21,284,31,10.915
316,3889,C00,2022-12,entry,16,192,14,7.292
317,3891,C00,2023-01,entry,14,188,35,18.617
318,3896,C00,2023-01,entry,19,218,17,7.798
319,3910,C00,2023-01,licensed,8,121,0,0.0
320,3911,C00,2023-01,experienced,9,127,15,11.811
321,3926,C00,2023-01,entry,8,84,7,8.333
322,3933,C00,2023-01,experienced,10,133,15,11.278
323,3976,C00,2023-01,experienced,19,248,15,6.048
324,3978,C00,2023-01,entry,16,207,23,11.111
325,3986,C00,2023-01,licensed,11,138,17,12.319
326,4008,C00,2023-01,experienced,16,185,16,8.649
327,4009,C00,2023-01,entry,12,151,23,15.232
328,4020,C00,2023-02,licensed,9,116,21,18.103
329,4023,C00,2023-02,licensed,22,287,21,7.317
330,4038,C00,2023-02,licensed,9,114,13,11.404
331,4061,C00,2023-02,licensed,14,196,12,6.122
332,4094,C00,2023-02,entry,9,114,9,7.895
333,4099,C00,2023-02,entry,18,236,23,9.746
334,4118,C00,2023-02,licensed,17,224,25,11.161
335,4157,C00,2023-02,experienced,19,241,27,11.203
336,4161,C00,2023-02,licensed,15,172,14,8.14
337,4176,C00,2023-02,experienced,13,183,23,12.568
338,4181,C00,2023-02,licensed,9,117,13,11.111
339,4217,C00,2023-02,licensed,9,110,10,9.091
340,4225,C00,2023-02,entry,17,199,11,5.528
341,4238,C00,2023-02,experienced,15,215,19,8.837
342,4251,C00,2023-03,licensed,17,222,33,14.865
343,4260,C00,2023-03,entry,10,131,21,16.031
344,4273,C00,2023-03,experienced,7,90,3,3.333
345,4275,C00,2023-03,licensed,11,156,18,11.538
346,4276,C00,2023-03,licensed,12,177,3,1.695
347,4305,C00,2023-03,entry,10,135,18,13.333
348,4317,C00,2023-03,experienced,12,162,9,5.556
349,4335,C00,2023-03,licensed,15,169,26,15.385
350,4367,C00,2023-04,experienced,12,153,32,20.915
351,4369,C00,2023-04,licensed,16,208,19,9.135
352,4370,C00,2023-04,entry,9,122,21,17.213
353,4376,C00,2023-04,licensed,16,212,15,7.075
354,4382,C00,2023-04,licensed,19,242,32,13.223
355,4421,C00,2023-04,experienced,8,101,21,20.792
356,4430,C00,2023-04,entry,10,126,13,10.317
357,4454,C00,2023-04,licensed,14,181,12,6.63
358,4463,C00,2023-04,licensed,12,169,20,11.834
359,4464,C00,2023-04,experienced,7,91,7,7.692
360,4468,C00,2023-04,experienced,9,117,11,9.402
361,4471,C00,2023-04,entry,20,245,32,13.061
362,4532,C00,2023-05,experienced,16,198,8,4.04
363,4535,C00,2023-05,entry,12,155,17,10.968
364,4541,C00,2023-05,entry,15,179,16,8.939
365,4550,C00,2023-05,entry,16,227,14,6.167
366,4560,C00,2023-05,entry,14,178,24,13.483
367,4567,C00,2023-05,entry,11,171,7,4.094
368,4569,C00,2023-05,experienced,16,211,16,7.583
369,4575,C00,2023-05,experienced,16,217,25,11.521
370,4602,C00,2023-05,licensed,13,163,22,13.497
371,4622,C00,2023-05,experienced,17,240,25,10.417
372,4633,C00,2023-05,entry,19,236,13,5.508
373,4638,C00,2023-05,entry,12,168,6,3.571
374,4646,C00,2023-05,entry,12,158,18,11.392
375,4678,C00,2023-06,licensed,15,202,5,2.475
376,4710,C00,2023-06,entry,11,168,27,16.071
377,4715,C00,2023-06,experienced,15,163,25,15.337
378,4740,C00,2023-06,experienced,13,174,6,3.448
379,4754,C00,2023-06,experienced,11,125,7,5.6
380,4760,C00,2023-06,entry,11,145,4,2.759
381,4783,C00,2023-06,licensed,7,94,3,3.191
382,4797,C00,2023-06,experienced,13,172,8,4.651
383,4810,C00,2023-06,entry,13,147,9,6.122
384,4819,C00,2023-07,experienced,14,191,14,7.33
385,4825,C00,2023-07,licensed,18,235,12,5.106
386,4831,C00,2023-07,experienced,8,111,11,9.91
387,4839,C00,2023-07,entry,16,210,12,5.714
388,4847,C00,2023-07,experienced,17,198,17,8.586
389,4849,C00,2023-07,experienced,17,241,26,10.788
390,4887,C00,2023-07,licensed,14,206,15,7.282
391,4908,C00,2023-07,experienced,20,237,16,6.751
392,4919,C00,2023-07,experienced,7,98,5,5.102
393,4925,C00,2023-07,entry,10,136,15,11.029
394,4952,C00,2023-07,licensed,15,198,7,3.535
395,4960,C00,2023-07,licensed,9,119,21,17.647
396,4964,C00,2023-07,entry,12,165,21,12.727
397,4984,C00,2023-07,experienced,7,89,6,6.742
398,4985,C00,2023-07,experienced,15,189,15,7.937
399,5012,C00,2023-08,licensed,9,124,8,6.452
400,5013,C00,2023-08,licensed,12,163,12,7.362
401,5050,C00,2023-08,licensed,11,160,23,14.375
402,5055,C00,2023-08,entry,14,200,13,6.5
403,5058,C00,2023-08,entry,15,196,24,12.245
404,5064,C00,2023-08,licensed,12,164,17,10.366
405,5074,C00,2023-08,entry,14,172,30,17.442
406,5109,C00,2023-08,licensed,10,118,8,6.78
407,5117,C00,2023-08,licensed,13,156,16,10.256
408,5121,C00,2023-08,entry,10,130,17,13.077
409,5133,C00,2023-08,entry,11,151,27,17.881
410,5161,C00,2023-08,licensed,14,172,14,8.14
411,5179,C00,2023-09,entry,13,145,14,9.655
412,5188,C00,2023-09,experienced,9,131,27,20.611
413,5193,C00,2023-09,experienced,17,221,21,9.502
414,5205,C00,2023-09,licensed,19,264,26,9.848
415,5207,C00,2023-09,licensed,14,177,14,7.91
416,5210,C00,2023-09,experienced,14,184,33,17.935
417,5220,C00,2023-09,entry,18,216,33,15.278
418,5230,C00,2023-09,entry,12,141,10,7.092
419,5234,C00,2023-09,entry,17,208,19,9.135
420,5236,C00,2023-09,entry,17,210,31,14.762
421,5260,C00,2023-09,entry,16,179,13,7.263
422,5261,C00,2023-09,entry,14,188,39,20.745
423,5284,C00,2023-09,experienced,21,296,45,15.203
424,5303,C00,2023-09,licensed,10,125,13,10.4
425,5320,C00,2023-09,licensed,15,213,32,15.023
426,5328,C00,2023-10,entry,16,180,11,6.111
427,5353,C00,2023-10,licensed,13,177,12,6.78
428,5354,C00,2023-10,licensed,15,191,13,6.806
429,5358,C00,2023-10,entry,14,191,11,5.759
430,5362,C00,2023-10,entry,16,191,25,13.089
431,5405,C00,2023-10,entry,18,253,25,9.881
432,5412,C00,2023-10,licensed,14,178,15,8.427
433,5433,C00,2023-10,experienced,14,185,17,9.189
434,5447,C00,2023-10,experienced,14,166,14,8.434
435,5463,C00,2023-10,licensed,11,152,12,7.895
436,5464,C00,2023-10,licensed,11,131,7,5.344
437,5467,C00,2023-10,entry,9,133,10,7.519
438,5469,C00,2023-10,experienced,19,271,33,12.177
439,5483,C00,2023-11,entry,9,123,5,4.065
440,5488,C00,2023-11,entry,12,160,30,18.75
441,5521,C00,2023-11,experienced,11,157,14,8.917
442,5534,C00,2023-11,experienced,17,220,16,7.273
443,5539,C00,2023-11,licensed,8,109,9,8.257
444,5553,C00,2023-11,licensed,12,152,18,11.842
445,5574,C00,2023-11,entry,13,166,15,9.036
446,5583,C00,2023-11,experienced,14,161,13,8.075
447,5591,C00,2023-11,entry,12,123,18,14.634
448,5595,C00,2023-11,entry,16,220,26,11.818
449,5630,C00,2023-12,entry,20,263,17,6.464
450,5636,C00,2023-12,licensed,12,155,16,10.323
451,5665,C00,2023-12,licensed,20,254,16,6.299
452,5674,C00,2023-12,experienced,11,134,5,3.731
453,5686,C00,2023-12,entry,10,122,6,4.918
454,5708,C00,2023-12,licensed,9,108,15,13.889
455,5717,C00,2023-12,licensed,13,177,10,5.65
456,5746,C00,2023-12,experienced,17,205,27,13.171
457,5763,C00,2023-12,experienced,12,158,4,2.532
458,5767,C00,2024-01,entry,11,129,18,13.953
459,5774,C00,2024-01,licensed,16,198,11,5.556
460,5794,C00,2024-01,licensed,14,167,15,8.982
461,5804,C00,2024-01,entry,16,204,35,17.157
462,5807,C00,2024-01,entry,16,207,26,12.56
463,5808,C00,2024-01,experienced,9,126,8,6.349
464,5811,C00,2024-01,licensed,14,187,16,8.556
465,5812,C00,2024-01,entry,12,167,7,4.192
466,5823,C00,2024-01,experienced,13,165,20,12.121
467,5842,C00,2024-01,entry,9,116,12,10.345
468,5844,C00,2024-01,entry,14,213,26,12.207
469,5907,C00,2024-01,entry,12,163,20,12.27
470,5920,C00,2024-01,licensed,7,89,10,11.236
471,5957,C00,2024-01,experienced,11,134,23,17.164
472,5970,C00,2024-02,licensed,17,203,8,3.941
473,5995,C00,2024-02,experienced,12,148,12,8.108
474,6003,C00,2024-02,licensed,13,154,13,8.442
475,6039,C00,2024-02,licensed,15,223,26,11.659
476,6153,C00,2024-03,entry,17,214,29,13.551
477,6158,C00,2024-03,licensed,17,214,22,10.28
478,6166,C00,2024-03,entry,9,101,11,10.891
479,6178,C00,2024-03,experienced,9,119,15,12.605
480,6200,C00,2024-03,entry,20,263,20,7.605
481,6201,C00,2024-03,experienced,9,110,10,9.091
482,6213,C00,2024-03,licensed,8,100,10,10.0
483,6216,C00,2024-03,licensed,10,132,25,18.939
484,6221,C00,2024-03,entry,15,234,18,7.692
485,6227,C00,2024-03,licensed,16,190,4,2.105
486,6246,C00,2024-03,entry,8,112,13,11.607
487,6249,C00,2024-03,experienced,14,181,31,17.127
488,6255,C00,2024-03,experienced,8,115,10,8.696
489,6277,C00,2024-04,licensed,17,227,11,4.846
490,6318,C00,2024-04,experienced,15,231,28,12.121
491,6338,C00,2024-04,entry,12,157,15,9.554
492,6342,C00,2024-04,licensed,14,172,14,8.14
493,6355,C00,2024-04,licensed,7,104,8,7.692
494,6384,C00,2024-04,licensed,12,144,11,7.639
495,6421,C00,2024-04,experienced,14,200,25,12.5
496,6470,C00,2024-04,licensed,17,233,14,6.009
497,6562,C00,2024-05,licensed,10,125,16,12.8
498,6592,C00,2024-05,licensed,15,188,13,6.915
499,6614,C00,2024-05,experienced,12,151,17,11.258
500,6617,C00,2024-05,entry,10,136,13,9.559
501,6630,C00,2024-05,entry,10,138,19,13.768
502,6650,C00,2024-05,licensed,13,165,12,7.273
503,6657,C00,2024-05,entry,14,204,25,12.255
504,6683,C00,2024-05,licensed,15,204,15,7.353
505,6700,C00,2024-05,entry,20,241,38,15.768
506,6721,C00,2024-05,experienced,13,164,15,9.146
507,6788,C00,2024-05,licensed,16,259,38,14.672
508,6789,C00,2024-05,entry,22,289,33,11.419
509,6790,C00,2024-05,experienced,14,186,19,10.215
510,6795,C00,2024-06,experienced,16,199,11,5.528
511,6800,C00,2024-06,experienced,6,84,5,5.952
512,6801,C00,2024-06,licensed,12,150,17,11.333
513,6816,C00,2024-06,licensed,13,170,11,6.471
514,6820,C00,2024-06,experienced,11,128,11,8.594
515,6824,C00,2024-06,licensed,14,157,11,7.006
516,6827,C00,2024-06,licensed,14,195,4,2.051
517,6838,C00,2024-06,entry,12,171,13,7.602
518,6844,C00,2024-06,experienced,11,141,7,4.965
519,6851,C00,2024-06,entry,18,240,43,17.917
520,6865,C00,2024-06,entry,15,205,31,15.122
521,6880,C00,2024-06,licensed,20,259,29,11.197
522,6883,C00,2024-06,licensed,20,243,22,9.053
523,6889,C00,2024-06,entry,14,175,28,16.0
524,6892,C00,2024-06,entry,16,191,27,14.136
