center_id,month,ats,openings,applications_received,apps_per_opening,applications_reviewed,recruiter_minutes_per_application,days_to_fill,local_unemployment_rate,wage_index,recruiter_hourly_rate,grader_hourly_rate,sourcing_cost_per_opening,training_cost_per_hire,ramp_productivity_loss_per_hire,vacancy_cost_per_day,separation_cost_per_exit,claims_per_adjuster_6mo,cost_per_reopened_claim
C00,2021-12,legacy,9,1483,164.8,86,5.64,21.6,3.59,1.032,69.21,61.98,786.28,5142.38,6688.22,223.06,2648.49,566,324.77
C00,2022-01,legacy,17,2421,142.4,145,6.53,20.4,3.4,1.035,69.91,61.62,906.45,4845.46,7016.44,234.72,2634.73,566,402.91
C00,2022-02,legacy,22,3496,158.9,249,5.85,18.7,3.14,1.038,71.46,59.27,845.98,5408.48,6379.57,254.38,2635.41,566,406.13
C00,2022-03,legacy,22,3125,142.0,204,6.55,23.8,3.28,1.041,71.15,62.39,742.84,5622.87,7539.32,213.22,2716.74,566,397.48
C00,2022-04,legacy,12,1843,153.6,122,6.06,20.7,3.43,1.044,73.03,61.46,752.08,4853.67,7347.2,208.37,2642.31,566,398.12
C00,2022-05,legacy,13,1999,153.8,134,6.05,27.5,3.4,1.047,73.74,61.54,909.41,5419.34,7853.87,259.6,2995.4,566,412.13
C00,2022-06,legacy,15,2505,167.0,150,5.57,23.3,3.57,1.05,69.6,63.42,888.95,5255.34,6609.05,262.59,3105.47,566,340.88
C00,2022-07,legacy,12,1732,144.3,111,6.44,22.6,3.42,1.052,72.22,62.1,782.16,6228.3,7368.94,234.93,2540.89,566,392.25
C00,2022-08,legacy,18,2736,152.0,193,6.12,23.8,3.77,1.055,72.55,62.63,768.6,5582.92,6883.7,225.21,2955.06,566,392.01
C00,2022-09,legacy,16,2563,160.2,191,5.81,25.3,3.54,1.058,70.91,62.5,816.02,5334.86,7115.41,270.6,2658.34,566,372.62
C00,2022-10,legacy,16,2244,140.2,112,6.63,22.6,3.49,1.061,73.37,64.37,876.55,6063.01,7164.45,246.95,2716.9,566,393.05
C00,2022-11,legacy,19,2857,150.4,206,6.18,25.4,3.45,1.064,74.75,63.01,815.09,5436.52,7221.01,241.57,3039.15,566,341.72
C00,2022-12,legacy,16,2285,142.8,152,6.51,21.3,3.4,1.067,72.72,63.18,805.11,6000.2,7179.56,225.83,2566.43,566,387.49
C00,2023-01,legacy,9,1298,144.2,125,6.45,22.5,3.24,1.07,74.37,64.12,824.61,5130.47,6947.85,217.73,2870.75,566,379.75
C00,2023-02,legacy,19,2993,157.5,230,5.86,26.1,3.55,1.073,71.89,64.35,822.62,5952.87,7750.82,233.19,2547.48,566,354.95
C00,2023-03,legacy,10,1586,158.6,119,5.77,28.4,3.21,1.076,73.42,62.0,895.62,5808.21,7762.55,215.59,2598.8,566,403.47
C00,2023-04,legacy,15,2679,178.6,163,5.08,27.0,2.78,1.079,72.45,62.97,987.94,5491.52,6853.26,248.51,2942.29,566,344.84
C00,2023-05,legacy,19,3179,167.3,149,5.37,23.2,3.29,1.082,72.17,65.96,832.72,5267.01,8048.66,261.27,2968.12,566,315.53
C00,2023-06,legacy,13,2180,167.7,138,5.29,26.1,3.11,1.085,74.5,64.02,883.38,6142.0,6701.83,265.95,2849.16,566,450.18
C00,2023-07,legacy,19,2943,154.9,194,5.66,22.6,2.83,1.088,74.8,64.57,789.29,5346.95,7990.96,256.55,2824.11,566,386.54
C00,2023-08,legacy,15,2325,155.0,167,5.57,23.4,3.02,1.09,74.67,64.45,761.7,6230.55,7578.51,277.06,3042.3,566,367.09
C00,2023-09,legacy,15,2409,160.6,146,5.3,25.3,2.66,1.093,70.3,66.43,959.43,5968.64,7108.6,254.11,2713.65,566,308.67
C00,2023-10,legacy,17,2385,140.3,160,5.97,23.4,3.25,1.096,74.67,65.64,890.87,5935.78,7814.49,254.8,3002.57,566,392.73
C00,2023-11,legacy,9,1614,179.3,131,4.59,20.8,2.99,1.099,76.9,63.3,924.0,5526.31,6721.75,226.35,3086.63,566,457.6
C00,2023-12,legacy,18,2836,157.6,152,5.13,23.4,3.57,1.102,74.69,64.86,867.36,5660.41,7636.41,257.08,3112.12,566,298.78
C00,2024-01,legacy,15,2332,155.5,197,5.1,27.2,3.01,1.105,75.14,66.68,823.07,5306.66,7265.39,277.96,2590.46,566,363.71
C00,2024-02,legacy,16,2604,162.8,173,4.78,21.9,3.11,1.108,74.31,64.99,985.53,5706.12,7570.0,246.24,2301.3,566,349.7
C00,2024-03,legacy,12,2136,178.0,122,4.29,28.7,3.0,1.111,76.82,65.49,1047.22,5430.08,7329.0,229.67,2922.76,566,386.8
C00,2024-04,legacy,23,4225,183.7,303,4.08,25.7,2.88,1.114,73.5,67.79,841.24,5961.75,6922.36,244.99,2938.9,566,385.36
C00,2024-05,legacy,20,3364,168.2,233,4.37,26.1,2.67,1.117,76.74,63.74,939.31,6318.59,7109.92,256.55,3180.17,566,343.33
C00,2024-06,legacy,8,1424,178.0,102,4.06,28.3,3.02,1.12,75.84,69.42,842.66,6241.75,7568.17,292.38,2941.19,566,363.46
C00,2024-07,legacy,15,2613,174.2,182,4.08,29.3,2.71,1.122,74.82,67.92,998.05,5598.29,7384.98,253.8,3099.63,566,419.94
C00,2024-08,legacy,21,3483,165.9,220,4.21,21.6,2.85,1.125,74.68,67.12,1014.9,5070.66,8971.62,224.63,2891.62,566,423.67
C00,2024-09,new,15,3204,213.6,179,3.22,32.7,2.71,1.128,76.83,67.02,737.35,5922.47,7793.36,236.89,2825.06,566,425.41
C00,2024-10,new,8,1713,214.1,111,3.17,28.6,3.03,1.131,77.3,68.13,874.19,6379.19,7026.66,237.14,2879.87,566,424.59
C00,2024-11,new,10,1969,196.9,133,3.41,28.2,2.89,1.134,75.72,65.51,883.09,6304.39,7619.17,291.57,2779.76,566,384.14
C00,2024-12,new,16,3723,232.7,177,2.85,28.7,3.12,1.137,76.07,67.77,899.08,5797.24,8138.59,242.02,2930.27,566,444.63
C00,2025-01,new,19,3795,199.7,169,3.29,22.1,2.3,1.14,75.83,66.87,865.62,5668.94,7254.98,226.36,2749.66,566,422.17
C00,2025-02,new,11,2465,224.1,104,2.9,32.7,2.62,1.143,75.96,69.35,802.41,6573.44,7498.36,282.72,2736.48,566,347.0
C00,2025-03,new,12,2504,208.7,123,3.09,23.4,2.73,1.146,77.22,66.81,876.08,5463.0,6918.83,242.85,2709.98,566,399.51
C00,2025-04,new,21,4468,212.8,251,3.01,31.3,2.51,1.149,76.95,69.25,943.37,5994.67,7706.48,257.32,3025.52,566,373.21
C00,2025-05,new,18,3872,215.1,192,2.96,28.8,2.55,1.152,76.45,68.96,840.91,6121.72,7323.98,234.96,2926.27,566,432.42
C00,2025-06,new,18,4229,234.9,202,2.7,27.8,2.61,1.155,79.56,67.46,829.1,5745.73,7100.65,273.25,2904.81,566,395.67
C00,2025-07,new,18,3773,209.6,188,3.01,25.4,2.76,1.158,79.07,68.24,941.24,5616.34,9084.43,235.8,3107.55,566,427.42
C00,2025-08,new,17,3808,224.0,148,2.8,34.8,2.12,1.16,78.41,69.34,993.35,5522.87,7474.26,249.45,2889.86,566,412.64
C00,2025-09,new,17,4238,249.3,191,2.51,30.0,2.45,1.163,78.35,66.33,854.53,6253.9,7343.93,272.31,3008.32,566,343.89
C00,2025-10,new,17,3711,218.3,185,2.86,27.7,2.97,1.166,76.34,69.19,913.69,5889.76,8897.14,231.12,3068.12,566,339.07
C00,2025-11,new,12,2730,227.5,153,2.74,28.6,2.41,1.169,80.11,70.96,878.58,6016.16,7725.19,248.92,3023.02,566,418.19
C00,2025-12,new,6,1425,237.5,78,2.62,32.0,3.08,1.172,81.19,69.76,948.5,5770.85,6951.42,228.64,3047.65,566,434.6
C01,2021-01,legacy,16,2320,145.0,134,6.41,22.9,3.93,1.0,54.28,46.86,556.84,4009.54,5506.64,177.2,2222.57,589,341.5
C01,2021-02,legacy,19,2936,154.5,169,6.02,23.9,4.36,1.003,53.99,47.62,585.28,4536.96,4862.66,166.62,2224.89,589,379.4
C01,2021-03,legacy,27,3897,144.3,273,6.44,25.6,4.11,1.006,55.34,47.73,621.15,3979.05,5310.45,182.06,1804.91,589,301.0
C01,2021-04,legacy,20,3132,156.6,198,5.94,19.8,3.92,1.009,54.63,47.72,667.84,4255.65,5213.73,156.92,2039.49,589,320.15
C01,2021-05,legacy,19,2864,150.7,214,6.17,23.2,4.2,1.012,52.82,46.99,643.17,4019.38,5353.01,194.65,1973.92,589,307.52
C01,2021-06,legacy,19,2697,141.9,187,6.55,25.1,4.07,1.015,53.61,47.74,717.0,4119.02,5148.05,188.86,1801.68,589,281.69
C01,2021-07,legacy,17,2778,163.4,177,5.69,23.5,4.35,1.018,53.55,47.95,652.27,3963.9,5596.85,181.63,1987.25,589,346.04
C01,2021-08,legacy,17,2538,149.3,165,6.23,23.2,4.26,1.02,54.51,47.69,639.91,4471.76,5174.54,182.37,2144.38,589,263.04
C01,2021-09,legacy,18,2658,147.7,153,6.3,19.3,4.43,1.023,55.78,48.94,586.58,4196.76,4982.6,171.94,2167.87,589,327.43
C01,2021-10,legacy,18,2557,142.1,198,6.55,24.4,4.33,1.026,54.54,47.36,592.89,4000.17,5869.55,200.19,1832.72,589,269.22
C01,2021-11,legacy,25,3649,146.0,219,6.37,21.5,4.3,1.029,54.12,47.2,557.07,4567.0,5500.37,174.37,2121.28,589,269.68
C01,2021-12,legacy,22,3284,149.3,240,6.23,24.4,3.99,1.032,54.29,48.56,605.01,4416.29,5799.12,177.82,2162.37,589,323.16
C01,2022-01,legacy,17,2579,151.7,158,6.13,21.9,3.56,1.035,56.0,48.71,622.56,4413.38,4988.44,183.8,2153.97,589,304.5
C01,2022-02,legacy,20,3207,160.4,149,5.8,21.9,4.14,1.038,54.54,50.93,660.46,4493.54,6549.27,179.1,2314.44,589,297.69
C01,2022-03,legacy,16,2219,138.7,149,6.71,24.3,4.39,1.041,56.69,48.63,662.02,4193.74,6083.91,212.14,1890.39,589,260.09
C01,2022-04,legacy,20,2940,147.0,173,6.33,22.8,4.25,1.044,55.83,50.36,550.51,4512.12,5673.91,177.36,2374.39,589,287.1
C01,2022-05,legacy,29,4678,161.3,256,5.77,25.7,4.06,1.047,57.73,50.04,696.72,4337.81,5655.86,153.23,2231.0,589,335.87
C01,2022-06,legacy,22,3339,151.8,207,6.13,26.0,4.14,1.05,56.8,50.2,773.92,4090.48,5579.78,217.02,2006.16,589,279.51
C01,2022-07,legacy,16,2462,153.9,134,6.04,26.8,4.08,1.052,55.8,49.31,652.42,4351.39,5568.63,184.95,2143.31,589,258.55
C01,2022-08,legacy,19,3138,165.2,207,5.63,20.9,4.0,1.055,55.93,50.7,606.66,4735.8,5348.71,187.29,2239.8,589,291.51
C01,2022-09,legacy,13,1991,153.2,153,6.07,26.0,3.92,1.058,58.23,48.49,674.12,4127.51,5415.73,201.49,2283.9,589,339.12
C01,2022-10,legacy,17,2624,154.4,179,6.03,17.3,3.95,1.061,57.06,48.01,646.01,4228.19,5429.3,204.49,1998.47,589,311.4
C01,2022-11,legacy,25,3744,149.8,256,6.21,18.8,3.93,1.064,56.49,49.12,612.26,4409.17,5152.17,185.32,2342.69,589,345.37
C01,2022-12,legacy,17,2838,166.9,195,5.57,29.1,3.89,1.067,57.53,49.81,770.41,4534.39,5316.07,183.39,1965.12,589,291.61
C01,2023-01,legacy,17,2718,159.9,170,5.82,16.7,3.44,1.07,56.68,50.36,634.15,4489.75,5483.89,172.82,2256.42,589,293.74
C01,2023-02,legacy,19,2745,144.5,200,6.39,21.3,3.51,1.073,59.15,49.42,653.96,4622.66,4829.75,170.75,2285.2,589,284.46
C01,2023-03,new,14,2224,158.9,149,5.76,21.5,3.62,1.076,56.0,50.82,599.03,4568.08,5510.68,201.9,2326.93,589,289.78
C01,2023-04,new,14,2037,145.5,148,6.24,21.0,3.56,1.079,58.04,49.61,562.2,4541.32,6284.89,191.23,2338.82,589,302.23
C01,2023-05,new,19,3209,168.9,169,5.32,27.2,3.48,1.082,59.01,51.37,714.49,4253.21,5804.9,196.72,2098.56,589,369.37
C01,2023-06,new,9,1507,167.4,81,5.3,24.7,3.9,1.085,57.23,49.14,670.18,4334.7,5874.94,181.9,2490.01,589,329.95
C01,2023-07,new,23,3729,162.1,282,5.4,21.1,3.96,1.088,60.14,51.46,624.35,4406.18,6049.41,175.04,2417.91,589,287.02
C01,2023-08,new,12,1954,162.8,116,5.31,24.2,3.42,1.09,59.62,52.17,703.56,4286.3,5682.11,184.03,2409.39,589,284.09
C01,2023-09,new,16,2443,152.7,162,5.57,25.9,3.32,1.093,59.56,52.39,679.27,4952.64,5439.62,193.68,2228.77,589,330.31
C01,2023-10,new,11,1998,181.6,122,4.61,24.8,3.82,1.096,60.38,53.99,673.34,4190.11,6373.26,172.84,2321.78,589,334.04
C01,2023-11,new,22,3870,175.9,266,4.68,20.8,3.65,1.099,57.87,50.72,675.59,4601.89,5400.27,205.3,2233.87,589,293.69
C01,2023-12,new,18,3195,177.5,177,4.55,22.5,3.66,1.102,60.72,51.12,591.94,4781.47,5768.51,196.7,2458.4,589,320.12
C01,2024-01,new,20,3856,192.8,214,4.11,23.9,3.77,1.105,60.01,51.29,671.63,4860.19,6025.6,186.91,2303.6,589,273.46
C01,2024-02,new,16,2896,181.0,193,4.3,26.0,3.35,1.108,57.47,52.31,786.78,4639.72,6764.55,165.16,2357.63,589,302.94
C01,2024-03,new,17,3153,185.5,210,4.12,26.2,3.77,1.111,58.81,52.04,693.74,4675.97,5451.11,188.84,2272.73,589,314.0
C01,2024-04,new,18,3379,187.7,204,3.99,23.4,3.71,1.114,60.6,51.61,664.23,4594.47,6393.25,183.37,2115.95,589,293.5
C01,2024-05,new,16,2938,183.6,162,4.01,27.0,3.4,1.117,61.63,52.69,585.31,4749.47,6381.58,176.5,2204.41,589,303.2
C01,2024-06,new,15,3509,233.9,166,3.09,31.5,3.8,1.12,58.27,52.88,576.88,5255.84,5734.39,199.58,2545.46,589,266.39
C01,2024-07,new,17,3454,203.2,233,3.5,31.6,3.13,1.122,61.36,54.4,644.74,4519.13,5356.88,209.51,2358.53,589,312.26
C01,2024-08,new,14,2857,204.1,173,3.43,27.4,3.3,1.125,63.09,53.99,726.53,4752.7,6104.87,217.8,2419.68,589,295.28
C01,2024-09,new,22,4900,222.7,295,3.09,24.2,3.71,1.128,61.7,55.35,680.6,4362.77,5699.32,213.82,2353.49,589,298.23
C01,2024-10,new,18,3179,176.6,304,3.85,27.4,3.49,1.131,62.83,52.57,715.56,4781.39,5929.91,199.83,2459.95,589,325.68
C01,2024-11,new,18,3872,215.1,253,3.12,32.3,3.26,1.134,61.07,54.41,704.38,4997.4,6690.77,222.34,2380.71,589,305.93
C01,2024-12,new,20,4351,217.6,221,3.05,32.7,3.4,1.137,62.06,53.66,726.73,4248.8,6399.59,212.98,2310.73,589,303.34
C01,2025-01,new,21,4340,206.7,250,3.18,29.7,3.09,1.14,62.38,50.66,579.17,4139.3,5998.48,196.45,2228.11,589,358.26
C01,2025-02,new,12,2720,226.7,174,2.87,25.2,3.18,1.143,60.69,53.84,674.67,4723.66,5378.38,202.38,2382.87,589,270.27
C01,2025-03,new,14,2750,196.4,161,3.29,29.8,3.31,1.146,62.48,52.16,672.62,4108.98,6278.83,224.62,2199.6,589,282.24
C01,2025-04,new,16,3567,222.9,173,2.88,29.3,3.2,1.149,58.99,53.5,661.38,4724.95,5710.02,199.05,2244.0,589,311.87
C01,2025-05,new,22,5190,235.9,275,2.7,29.3,3.28,1.152,61.45,54.82,621.96,4610.84,5661.54,188.22,2458.79,589,328.73
C01,2025-06,new,25,4911,196.4,292,3.23,26.5,3.27,1.155,63.85,55.02,657.76,4849.25,6519.15,183.63,2133.55,589,323.35
C01,2025-07,new,20,4127,206.4,233,3.06,28.9,3.32,1.158,64.09,52.82,620.91,4838.83,5780.14,195.99,2616.52,589,263.84
C01,2025-08,new,22,4915,223.4,214,2.81,33.6,3.35,1.16,61.22,55.4,706.79,5040.47,6325.38,206.4,2337.15,589,285.02
C01,2025-09,new,25,5641,225.6,320,2.78,28.6,3.11,1.163,64.85,55.12,839.33,4328.99,5936.5,184.27,2454.22,589,299.71
C01,2025-10,new,20,4351,217.6,260,2.87,32.2,2.84,1.166,63.86,55.92,847.67,4511.78,6296.81,218.37,2371.52,589,298.77
C01,2025-11,new,21,4859,231.4,236,2.69,29.6,2.95,1.169,63.26,52.75,670.54,4373.47,5475.61,193.41,2427.39,589,328.85
C01,2025-12,new,21,4828,229.9,216,2.7,32.6,3.29,1.172,62.67,54.85,853.77,4330.59,6095.43,226.22,2552.53,589,296.82
C02,2021-01,legacy,37,5083,137.4,313,6.77,21.9,3.82,1.0,55.98,48.68,608.6,3862.41,5446.65,180.69,2042.54,654,327.68
C02,2021-02,legacy,42,6216,148.0,385,6.28,20.6,4.6,1.003,56.46,47.38,637.67,4193.9,5436.47,188.27,2098.83,654,312.67
C02,2021-03,legacy,28,3860,137.9,278,6.75,15.8,4.07,1.006,57.12,49.31,614.44,4068.76,5309.92,172.54,2016.29,654,285.89
C02,2021-04,legacy,31,4071,131.3,380,7.08,16.7,4.21,1.009,55.58,47.76,538.02,4433.99,5785.51,168.79,2230.61,654,270.51
C02,2021-05,legacy,29,3731,128.7,248,7.23,24.7,4.31,1.012,54.49,47.81,542.18,4389.11,5773.75,186.92,2038.64,654,260.13
C02,2021-06,legacy,36,5690,158.1,341,5.88,26.7,4.19,1.015,56.1,50.17,660.64,4870.73,5305.24,201.86,2029.38,654,373.93
C02,2021-07,new,31,4570,147.4,235,6.31,24.7,4.14,1.018,57.14,49.29,525.39,4147.01,5667.37,170.04,1921.86,654,333.44
C02,2021-08,new,48,8018,167.0,484,5.57,24.8,4.28,1.02,55.44,49.02,681.91,4260.05,5448.22,171.06,2148.6,654,348.82
C02,2021-09,new,31,4217,136.0,317,6.84,20.9,4.15,1.023,58.35,51.46,649.55,4785.52,5334.61,237.21,2041.56,654,332.76
C02,2021-10,new,45,6541,145.4,451,6.4,17.6,3.9,1.026,56.37,50.76,577.8,4201.37,5727.17,186.42,2336.63,654,355.41
C02,2021-11,new,50,7575,151.5,440,6.14,18.1,4.13,1.029,56.77,50.95,663.5,4519.86,4931.81,196.16,2108.72,654,308.05
C02,2021-12,new,29,4268,147.2,295,6.32,22.0,4.24,1.032,57.65,47.93,665.32,4528.47,6011.07,178.49,2120.74,654,317.06
C02,2022-01,new,35,5355,153.0,322,6.08,15.4,3.97,1.035,60.76,49.69,579.79,4168.25,5741.55,193.3,1883.01,654,319.07
C02,2022-02,new,40,5991,149.8,360,6.21,21.3,4.0,1.038,57.6,49.5,658.4,4189.99,5984.17,176.11,2151.66,654,322.87
C02,2022-03,new,39,5581,143.1,336,6.5,23.6,3.83,1.041,58.47,50.25,720.34,4452.54,6112.32,180.4,2307.79,654,322.97
C02,2022-04,new,45,5811,129.1,417,7.2,26.6,3.95,1.044,56.6,50.0,675.92,4816.64,5561.77,190.75,2217.16,654,311.86
C02,2022-05,new,38,5331,140.3,381,6.63,24.7,3.63,1.047,56.42,51.22,751.59,4334.74,5760.51,186.62,2371.61,654,304.46
C02,2022-06,new,31,5106,164.7,338,5.65,23.2,3.98,1.05,59.44,49.52,625.6,4393.48,5433.2,189.67,1987.33,654,305.63
C02,2022-07,new,36,5601,155.6,378,5.98,27.4,3.65,1.052,62.57,50.5,642.5,4537.49,6143.56,168.98,2548.91,654,302.88
C02,2022-08,new,34,5488,161.4,440,5.76,24.1,3.76,1.055,58.18,50.34,678.83,4355.39,5807.26,241.09,2453.63,654,333.52
C02,2022-09,new,41,5884,143.5,336,6.48,21.3,3.84,1.058,59.1,49.24,755.0,4571.26,5913.34,195.57,2115.55,654,328.03
C02,2022-10,new,31,4557,147.0,370,6.33,22.3,4.16,1.061,59.8,49.72,668.96,4173.87,6674.84,179.37,2326.23,654,317.09
C02,2022-11,new,39,5503,141.1,332,6.59,27.0,3.89,1.064,56.76,50.23,618.56,4511.83,5672.09,204.73,2504.06,654,301.67
C02,2022-12,new,38,5787,152.3,413,6.11,23.4,4.05,1.067,58.33,50.85,661.02,4244.33,6069.06,196.26,2524.65,654,321.53
C02,2023-01,new,27,4032,149.3,294,6.23,23.4,3.68,1.13,63.38,55.51,644.92,4239.45,6171.56,207.0,2263.59,654,329.96
C02,2023-02,new,33,5103,154.6,390,5.97,23.1,3.38,1.133,62.94,53.35,808.99,4737.72,6559.05,205.38,1997.16,654,285.03
C02,2023-03,new,45,7623,169.4,436,5.41,18.8,3.7,1.136,59.76,54.38,733.84,4742.79,6030.95,192.4,2246.9,654,344.75
C02,2023-04,new,30,4410,147.0,334,6.17,19.3,3.67,1.139,63.95,56.51,670.37,5022.23,6022.38,194.74,2063.96,654,291.18
C02,2023-05,new,26,4265,164.0,317,5.47,23.5,3.78,1.142,62.83,55.97,652.31,4823.86,6537.2,226.62,2486.18,654,282.26
C02,2023-06,new,35,5133,146.7,376,6.05,20.7,3.99,1.145,64.05,54.58,620.5,4698.4,6291.15,212.12,2271.88,654,339.56
C02,2023-07,new,47,8154,173.5,485,5.05,23.6,3.78,1.148,62.58,55.94,742.0,4852.38,5876.92,205.77,2414.43,654,295.71
C02,2023-08,new,39,6284,161.1,349,5.36,28.5,3.66,1.15,62.96,55.51,743.58,4535.62,5779.87,200.03,2148.57,654,371.8
C02,2023-09,new,29,4872,168.0,330,5.07,24.4,3.62,1.153,64.63,53.49,678.55,4644.2,5766.72,182.93,2388.55,654,302.97
C02,2023-10,new,45,7812,173.6,508,4.82,31.4,4.01,1.156,63.62,55.95,677.15,5111.19,6181.52,199.96,2253.48,654,333.43
C02,2023-11,new,38,7373,194.0,427,4.24,27.4,3.69,1.159,65.81,55.29,712.71,5290.88,6579.93,217.55,2369.18,654,266.57
C02,2023-12,new,39,6986,179.1,448,4.51,22.6,4.11,1.162,63.95,56.29,669.8,4720.81,5887.71,208.81,2653.51,654,307.94
C02,2024-01,new,28,4979,177.8,252,4.46,28.3,3.37,1.165,65.6,57.95,800.75,5179.79,6640.21,217.84,2405.85,654,289.13
C02,2024-02,new,34,5921,174.1,391,4.47,30.9,3.19,1.168,65.47,57.25,654.16,4918.72,6053.09,199.07,2595.31,654,318.01
C02,2024-03,new,35,6785,193.9,346,3.94,28.3,3.26,1.171,62.88,57.71,792.91,5316.41,6734.83,203.31,2620.97,654,362.15
C02,2024-04,new,40,7382,184.6,587,4.06,26.9,2.85,1.174,65.73,57.02,934.38,4890.24,6611.08,186.3,2293.46,654,320.21
C02,2024-05,new,44,8440,191.8,420,3.83,29.5,3.35,1.177,65.36,57.48,826.2,4663.64,6560.66,199.66,2393.1,654,309.61
C02,2024-06,new,33,6622,200.7,306,3.6,25.3,3.34,1.18,65.77,56.51,741.65,5085.13,6226.35,201.08,2281.28,654,332.77
C02,2024-07,new,40,8497,212.4,404,3.34,34.6,3.56,1.182,64.87,57.86,760.2,5024.01,6394.48,209.28,2498.05,654,310.7
C02,2024-08,new,24,4757,198.2,274,3.53,25.5,3.28,1.185,66.33,58.23,735.33,5090.52,6410.53,196.79,2470.46,654,277.06
C02,2024-09,new,34,7415,218.1,429,3.16,24.7,3.36,1.188,65.79,56.68,792.77,5122.4,5975.84,192.52,2287.57,654,307.51
C02,2024-10,new,42,9895,235.6,609,2.88,29.9,3.25,1.191,65.23,58.99,738.5,5145.51,6409.82,199.81,2617.61,654,291.07
C02,2024-11,new,43,8414,195.7,518,3.43,29.1,3.54,1.194,64.18,56.09,718.21,5044.35,6310.62,219.56,2409.72,654,304.6
C02,2024-12,new,27,6325,234.3,319,2.83,33.1,3.74,1.197,67.95,58.92,712.16,5140.67,5640.03,220.29,2523.77,654,282.76
C02,2025-01,new,41,10150,247.6,594,2.65,24.8,3.04,1.2,65.62,58.2,708.87,5053.94,6706.92,212.64,2856.22,654,329.38
C02,2025-02,new,33,6976,211.4,315,3.08,27.8,3.39,1.203,67.78,57.66,802.64,5152.6,7073.04,236.34,2478.67,654,330.05
C02,2025-03,new,31,7087,228.6,335,2.82,29.2,3.35,1.206,66.87,59.65,755.7,4614.6,6143.88,212.38,2699.77,654,243.79
C02,2025-04,new,39,7953,203.9,531,3.14,26.6,3.04,1.209,66.17,57.21,803.46,4842.54,6684.09,217.35,2467.67,654,273.43
C02,2025-05,new,46,10443,227.0,677,2.81,26.9,2.87,1.212,66.76,58.28,780.11,5246.97,6391.07,236.85,2509.77,654,349.31
C02,2025-06,new,42,9197,219.0,548,2.89,29.6,3.21,1.215,67.82,56.61,921.73,4727.16,6218.67,212.95,2715.09,654,377.93
C02,2025-07,new,29,6617,228.2,358,2.76,30.0,2.89,1.218,67.11,59.33,694.48,5043.03,6082.22,228.93,2577.49,654,322.01
C02,2025-08,new,43,9142,212.6,539,2.96,26.9,3.3,1.22,67.72,60.08,834.19,5081.9,6392.85,195.71,2841.69,654,318.37
C02,2025-09,new,39,8359,214.3,435,2.92,33.1,3.44,1.223,68.7,58.77,783.4,5413.32,7002.37,199.46,2598.24,654,280.38
C02,2025-10,new,30,6589,219.6,323,2.84,30.1,3.36,1.226,67.12,60.55,717.85,5020.12,6288.54,197.21,2340.79,654,273.21
C02,2025-11,new,39,8444,216.5,463,2.88,29.0,2.98,1.229,67.48,59.23,785.4,5401.99,6441.26,249.86,2524.77,654,305.6
C02,2025-12,new,35,7630,218.0,392,2.85,26.9,3.24,1.232,65.84,58.74,784.38,5516.4,6363.64,189.21,2649.19,654,315.79
C03,2021-01,legacy,25,3675,147.0,249,6.33,21.7,4.53,1.0,72.46,64.13,861.63,5646.77,8041.61,247.07,2714.28,595,435.37
C03,2021-02,legacy,23,3201,139.2,211,6.68,17.2,4.36,1.003,70.67,65.68,825.27,5168.2,6553.18,243.13,2779.67,595,355.96
